Results of Simulation 1

Time	Q_inh	Q_brain	Q_muscle	Q_lung	Q_heart	Q_liver	Q_kidney	Q_pancreas	Q_art	Q_ven	Q_stom_lumen	Q_urine	Q_spleen	Q_gut_lumen	Q_urt	Q_gonads
105	2.25	0.0371174	0.194836	0.00118305	0.00460362	0.0369804	0.00230697	0.003505	0.000895408	0.00391671	0.00286381	2.46428e-06	0.000656821	0.000438609	1.4245e-05	0.000489372
106	2.25	0.036786	0.195007	0.00117252	0.00455557	0.0365625	0.002286	0.0034759	0.000887424	0.00388187	0.00283789	2.4717e-06	0.000650754	0.000434454	1.41181e-05	0.000488754
107	2.25	0.0364575	0.195171	0.00116215	0.00450835	0.0361517	0.00226535	0.00344701	0.000879564	0.00384758	0.00281238	2.47904e-06	0.000644782	0.000430365	1.39932e-05	0.00048812
108	2.25	0.036132	0.195329	0.00115194	0.00446196	0.0357479	0.00224502	0.00341835	0.000871825	0.00381382	0.00278727	2.48632e-06	0.000638904	0.000426341	1.38703e-05	0.000487469
109	2.25	0.0358095	0.195481	0.00114188	0.00441636	0.0353509	0.00222501	0.00338991	0.000864206	0.00378057	0.00276254	2.49354e-06	0.000633118	0.000422381	1.37492e-05	0.000486804
110	2.25	0.03549	0.195626	0.00113198	0.00437156	0.0349605	0.00220531	0.00336168	0.000856703	0.00374784	0.0027382	2.50069e-06	0.000627423	0.000418483	1.363e-05	0.000486123
111	2.25	0.0351735	0.195764	0.00112223	0.00432752	0.0345768	0.00218592	0.00333368	0.000849316	0.0037156	0.00271423	2.50778e-06	0.000621816	0.000414646	1.35126e-05	0.000485427
112	2.25	0.0348599	0.195897	0.00111264	0.00428424	0.0341994	0.00216682	0.00330591	0.000842041	0.00368386	0.00269063	2.5148e-06	0.000616295	0.00041087	1.3397e-05	0.000484718
113	2.25	0.0345493	0.196024	0.00110318	0.00424169	0.0338284	0.00214802	0.00327835	0.000834878	0.00365261	0.0026674	2.52177e-06	0.000610861	0.000407152	1.32832e-05	0.000483994
114	2.25	0.0342417	0.196144	0.00109387	0.00419987	0.0334635	0.0021295	0.00325102	0.000827823	0.00362182	0.00264452	2.52867e-06	0.00060551	0.000403493	1.31711e-05	0.000483257
115	2.25	0.0339371	0.196259	0.00108471	0.00415875	0.0331047	0.00211127	0.00322392	0.000820875	0.00359151	0.00262198	2.53552e-06	0.000600241	0.00039989	1.30607e-05	0.000482506
116	2.25	0.0336354	0.196368	0.00107568	0.00411832	0.0327519	0.00209332	0.00319704	0.000814032	0.00356165	0.00259979	2.54231e-06	0.000595053	0.000396343	1.2952e-05	0.000481743
117	2.25	0.0333366	0.196472	0.00106678	0.00407856	0.0324048	0.00207563	0.00317038	0.000807293	0.00353224	0.00257794	2.54903e-06	0.000589945	0.000392852	1.28449e-05	0.000480967
118	2.25	0.0330408	0.19657	0.00105802	0.00403947	0.0320636	0.00205822	0.00314395	0.000800655	0.00350327	0.00255642	2.55571e-06	0.000584915	0.000389414	1.27394e-05	0.000480178
119	2.25	0.0327479	0.196662	0.0010494	0.00400103	0.0317279	0.00204107	0.00311775	0.000794117	0.00347474	0.00253522	2.56232e-06	0.000579961	0.000386029	1.26355e-05	0.000479378
120	2.25	0.0324579	0.196749	0.0010409	0.00396322	0.0313977	0.00202418	0.00309177	0.000787676	0.00344664	0.00251434	2.56889e-06	0.000575083	0.000382696	1.25332e-05	0.000478567
121	2.25	0.0321708	0.196831	0.00103253	0.00392603	0.031073	0.00200754	0.00306602	0.000781332	0.00341895	0.00249378	2.57539e-06	0.000570278	0.000379414	1.24324e-05	0.000477744
122	2.25	0.0318866	0.196908	0.00102428	0.00388946	0.0307535	0.00199116	0.00304049	0.000775082	0.00339168	0.00247352	2.58185e-06	0.000565546	0.000376182	1.23331e-05	0.00047691
123	2.25	0.0316053	0.196979	0.00101615	0.00385348	0.0304393	0.00197501	0.00301519	0.000768925	0.00336481	0.00245357	2.58825e-06	0.000560885	0.000372999	1.22352e-05	0.000476065
124	2.25	0.0313269	0.197046	0.00100815	0.00381808	0.0301302	0.00195911	0.00299011	0.00076286	0.00333834	0.00243391	2.5946e-06	0.000556295	0.000369865	1.21389e-05	0.00047521
125	2.25	0.0310513	0.197107	0.00100026	0.00378326	0.029826	0.00194345	0.00296526	0.000756884	0.00331226	0.00241455	2.6009e-06	0.000551773	0.000366778	1.20439e-05	0.000474345
126	2.25	0.0307785	0.197164	0.000992493	0.003749	0.0295268	0.00192802	0.00294063	0.000750996	0.00328656	0.00239547	2.60715e-06	0.000547319	0.000363738	1.19503e-05	0.00047347
127	2.25	0.0305086	0.197216	0.000984838	0.00371529	0.0292325	0.00191282	0.00291622	0.000745195	0.00326124	0.00237668	2.61335e-06	0.000542931	0.000360743	1.18581e-05	0.000472586
128	2.25	0.0302415	0.197264	0.000977295	0.00368212	0.0289428	0.00189784	0.00289204	0.000739479	0.0032363	0.00235816	2.6195e-06	0.000538609	0.000357794	1.17673e-05	0.000471692
129	2.25	0.0299772	0.197306	0.000969862	0.00364949	0.0286578	0.00188308	0.00286808	0.000733846	0.00321172	0.00233992	2.6256e-06	0.000534351	0.000354889	1.16778e-05	0.000470789
130	2.25	0.0297156	0.197345	0.000962537	0.00361737	0.0283774	0.00186854	0.00284435	0.000728296	0.00318749	0.00232194	2.63166e-06	0.000530155	0.000352027	1.15896e-05	0.000469878
131	2.25	0.0294568	0.197378	0.000955319	0.00358576	0.0281015	0.00185422	0.00282083	0.000722827	0.00316362	0.00230423	2.63767e-06	0.000526022	0.000349208	1.15027e-05	0.000468958
132	2.25	0.0292008	0.197408	0.000948207	0.00355464	0.0278299	0.0018401	0.00279754	0.000717437	0.0031401	0.00228677	2.64363e-06	0.00052195	0.000346431	1.1417e-05	0.00046803
133	2.25	0.0289475	0.197433	0.000941197	0.00352402	0.0275627	0.00182619	0.00277447	0.000712126	0.00311691	0.00226958	2.64955e-06	0.000517937	0.000343695	1.13326e-05	0.000467094
